 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
Render time: 8.05 seconds
         3171071 function calls (2964902 primitive calls) in 8.056 seconds

   Ordered by: cumulative time
   List reduced from 5619 to 1000 due to restriction <1000>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4013    0.031    0.000    0.055    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/linalg/linalg.py:469(inv)
     3407    0.002    0.000    0.055    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     2167    0.003    0.000    0.054    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1249(argmin)
        1    0.000    0.000    0.054    0.054 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/retargeter.py:5(<module>)
      336    0.000    0.000    0.053    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/ImageChops.py:207(subtract_modulo)
     1117    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      336    0.052    0.000    0.052    0.000 {method 'chop_subtract_modulo' of 'ImagingCore' objects}
      169    0.000    0.000    0.052    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:494(_normalize_palette)
     1117    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
     2167    0.050    0.000    0.050    0.000 {method 'argmin' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.050    0.050 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/util/_montage.py:1(<module>)
     9414    0.007    0.000    0.050    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/transform.py:116(get_world_position)
        1    0.000    0.000    0.049    0.049 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/exposure/__init__.py:1(<module>)
    15995    0.039    0.000    0.049    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/lib/twodim_base.py:162(eye)
        1    0.000    0.000    0.048    0.048 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/exposure/_adapthist.py:1(<module>)
     1386    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        1    0.000    0.000    0.048    0.048 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/color/__init__.py:1(<module>)
      513    0.001    0.000    0.048    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_data.py:68(astype)
